Date,Region,Channel,Sales,Leads,Conversions,Revenue
2024-01-01,North,Email,1360,34,12,533.7
2024-01-01,North,Ads,3592,122,20,494.63
2024-01-01,North,Social Media,3944,119,41,1471.95
2024-01-01,North,Referral,2185,72,3,99.13
2024-01-01,South,Email,2933,40,34,2297.84
2024-01-01,South,Ads,4617,108,50,2158.68
2024-01-01,South,Social Media,3058,189,29,558.13
2024-01-01,South,Referral,2306,194,45,537.94
2024-01-01,East,Email,2028,150,38,535.86
2024-01-01,East,Ads,3388,186,19,408.23
2024-01-01,East,Social Media,2863,33,19,1572.84
2024-01-01,East,Referral,3112,149,21,393.17
2024-01-01,West,Email,1978,191,9,75.85
2024-01-01,West,Ads,3652,183,41,901.78
2024-01-01,West,Social Media,1521,153,43,439.05
2024-01-01,West,Referral,2000,165,27,320.7
2024-01-02,North,Email,4797,33,32,5436.6
2024-01-02,North,Ads,4298,59,22,1531.28
2024-01-02,North,Social Media,837,130,25,151.74
2024-01-02,North,Referral,879,60,30,492.63
2024-01-02,South,Email,564,108,8,40.5
2024-01-02,South,Ads,2527,155,25,328.36
2024-01-02,South,Social Media,891,182,36,195.37
2024-01-02,South,Referral,4061,60,29,2247.9
2024-01-02,East,Email,3604,67,24,1378.17
2024-01-02,East,Ads,1304,118,45,524.65
2024-01-02,East,Social Media,2070,120,48,898.63
2024-01-02,East,Referral,4340,24,15,2705.77
2024-01-02,West,Email,4988,34,27,3209.12
2024-01-02,West,Ads,1984,198,33,348.71
2024-01-02,West,Social Media,1063,115,5,53.75
2024-01-02,West,Referral,2178,190,30,306.59
2024-01-03,North,Email,2222,105,29,719.18
2024-01-03,North,Ads,2097,153,29,445.75
2024-01-03,North,Social Media,4127,103,31,1432.54
2024-01-03,North,Referral,2163,111,26,469.77
2024-01-03,South,Email,1806,140,14,206.66
2024-01-03,South,Ads,1209,174,10,69.06
2024-01-03,South,Social Media,1163,78,33,495.74
2024-01-03,South,Referral,3804,199,50,789.43
2024-01-03,East,Email,1791,58,3,100.5
2024-01-03,East,Ads,2136,132,18,264.1
2024-01-03,East,Social Media,4597,149,29,734.2
2024-01-03,East,Referral,3974,145,3,83.24
2024-01-03,West,Email,3277,179,7,114.93
2024-01-03,West,Ads,4010,142,18,554.71
2024-01-03,West,Social Media,2827,88,35,1184.43
2024-01-03,West,Referral,2430,163,34,436.05
2024-01-04,North,Email,4782,89,17,745.63
2024-01-04,North,Ads,1159,183,20,137.36
2024-01-04,North,Social Media,646,167,33,107.03
2024-01-04,North,Referral,988,180,41,214.85
2024-01-04,South,Email,2885,123,2,50.21
2024-01-04,South,Ads,4561,61,36,2399.47
2024-01-04,South,Social Media,1123,79,50,637.37
2024-01-04,South,Referral,4223,56,33,2621.05
2024-01-04,East,Email,2556,118,20,472.38
2024-01-04,East,Ads,1654,167,25,238.15
2024-01-04,East,Social Media,2196,171,12,180.96
2024-01-04,East,Referral,1945,123,21,342.79
2024-01-04,West,Email,3683,118,26,650.85
2024-01-04,West,Ads,4933,73,36,2580.58
2024-01-04,West,Social Media,4567,180,5,113.53
2024-01-04,West,Referral,1800,67,21,534.04
2024-01-05,North,Email,1718,164,34,362.23
2024-01-05,North,Ads,1454,134,23,226.13
2024-01-05,North,Social Media,2193,57,39,1436.31
2024-01-05,North,Referral,2985,27,3,311.78
2024-01-05,South,Email,1459,80,49,815.27
2024-01-05,South,Ads,3620,36,29,2881.05
2024-01-05,South,Social Media,1569,136,7,76.56
2024-01-05,South,Referral,1560,43,30,1057.11
2024-01-05,East,Email,4776,114,36,1797.99
2024-01-05,East,Ads,1639,179,24,199.4
2024-01-05,East,Social Media,3894,147,19,514.74
2024-01-05,East,Referral,1069,86,41,422.07
2024-01-05,West,Email,4514,105,24,883.23
2024-01-05,West,Ads,654,149,27,129.92
2024-01-05,West,Social Media,4841,195,40,911.04
2024-01-05,West,Referral,3306,45,36,2386.89
2024-01-06,North,Email,2955,32,29,2690.12
2024-01-06,North,Ads,4631,192,21,536.9
2024-01-06,North,Social Media,4995,161,13,465.7
2024-01-06,North,Referral,1666,111,35,440.0
2024-01-06,South,Email,3274,105,26,698.84
2024-01-06,South,Ads,3761,144,23,622.54
2024-01-06,South,Social Media,2215,189,7,75.58
2024-01-06,South,Referral,2991,120,34,958.59
2024-01-06,East,Email,3551,127,6,164.9
2024-01-06,East,Ads,1376,135,31,321.11
2024-01-06,East,Social Media,4864,133,43,1461.21
2024-01-06,East,Referral,619,82,20,147.29
2024-01-06,West,Email,1869,136,24,320.37
2024-01-06,West,Ads,2431,148,2,32.09
2024-01-06,West,Social Media,1059,108,41,471.92
2024-01-06,West,Referral,3843,88,23,1096.84
2024-01-07,North,Email,3647,173,17,309.44
2024-01-07,North,Ads,3244,48,15,848.22
2024-01-07,North,Social Media,3618,113,47,1793.46
2024-01-07,North,Referral,3459,195,22,386.11
2024-01-07,South,Email,2257,120,24,369.8
2024-01-07,South,Ads,3349,199,32,434.12
2024-01-07,South,Social Media,4230,115,2,74.72
2024-01-07,South,Referral,3587,43,17,1498.9
2024-01-07,East,Email,1395,179,28,244.48
2024-01-07,East,Ads,2431,197,36,469.71
2024-01-07,East,Social Media,4500,198,44,1176.59
2024-01-07,East,Referral,4413,62,45,2913.38
2024-01-07,West,Email,4607,114,47,1533.35
2024-01-07,West,Ads,3046,54,24,1121.57
2024-01-07,West,Social Media,1275,112,27,329.69
2024-01-07,West,Referral,3569,181,42,826.85
2024-01-08,North,Email,1325,133,46,538.31
2024-01-08,North,Ads,1228,40,37,989.34
2024-01-08,North,Social Media,3004,171,36,756.5
2024-01-08,North,Referral,4579,55,19,1423.66
2024-01-08,South,Email,2643,171,24,434.86
2024-01-08,South,Ads,4632,31,18,2883.03
2024-01-08,South,Social Media,2826,118,42,956.67
2024-01-08,South,Referral,4452,81,21,1304.94
2024-01-08,East,Email,1865,160,20,222.79
2024-01-08,East,Ads,895,166,13,66.02
2024-01-08,East,Social Media,2319,147,20,314.63
2024-01-08,East,Referral,643,136,6,26.02
2024-01-08,West,Email,3438,72,24,1274.95
2024-01-08,West,Ads,1562,128,43,624.28
2024-01-08,West,Social Media,3794,141,6,176.75
2024-01-08,West,Referral,1232,94,19,295.7
2024-01-09,North,Email,1453,164,39,288.05
2024-01-09,North,Ads,1691,189,10,100.99
2024-01-09,North,Social Media,3181,24,6,710.39
2024-01-09,North,Referral,4219,128,2,75.95
2024-01-09,South,Email,2180,90,26,652.93
2024-01-09,South,Ads,2327,89,32,830.54
2024-01-09,South,Social Media,3423,186,28,463.5
2024-01-09,South,Referral,4102,58,4,255.02
2024-01-09,East,Email,1743,145,21,213.95
2024-01-09,East,Ads,1394,124,40,493.93
2024-01-09,East,Social Media,2496,111,50,936.74
2024-01-09,East,Referral,1428,185,7,60.56
2024-01-09,West,Email,2352,66,22,640.81
2024-01-09,West,Ads,3784,183,36,802.58
2024-01-09,West,Social Media,4012,165,48,1227.54
2024-01-09,West,Referral,3986,20,4,925.12
2024-01-10,North,Email,1853,35,9,456.38
2024-01-10,North,Ads,1167,136,9,67.02
2024-01-10,North,Social Media,4685,155,29,728.49
2024-01-10,North,Referral,4636,174,18,437.34
2024-01-10,South,Email,3008,176,14,278.6
2024-01-10,South,Ads,3824,153,19,459.04
2024-01-10,South,Social Media,2338,172,3,33.97
2024-01-10,South,Referral,1297,128,6,49.28
2024-01-10,East,Email,2324,137,2,33.66
2024-01-10,East,Ads,4658,105,28,1276.46
2024-01-10,East,Social Media,4500,117,42,1560.34
2024-01-10,East,Referral,884,168,49,214.04
2024-01-10,West,Email,2500,114,6,157.72
2024-01-10,West,Ads,1960,42,38,1933.73
2024-01-10,West,Social Media,4678,164,22,615.12
2024-01-10,West,Referral,2548,70,46,1745.51
2024-01-11,North,Email,2323,53,29,1153.46
2024-01-11,North,Ads,2074,173,35,415.6
2024-01-11,North,Social Media,1270,142,13,130.98
2024-01-11,North,Referral,735,152,31,172.49
2024-01-11,South,Email,2348,164,49,695.94
2024-01-11,South,Ads,3778,104,15,589.39
2024-01-11,South,Social Media,2650,185,35,471.39
2024-01-11,South,Referral,1858,110,35,555.3
2024-01-11,East,Email,4761,98,31,1579.58
2024-01-11,East,Ads,2628,152,30,445.46
2024-01-11,East,Social Media,3972,93,18,694.43
2024-01-11,East,Referral,3531,88,35,1472.24
2024-01-11,West,Email,4800,145,44,1502.96
2024-01-11,West,Ads,4542,134,48,1385.46
2024-01-11,West,Social Media,3945,163,9,189.95
2024-01-11,West,Referral,3447,44,4,360.28
2024-01-12,North,Email,1166,112,33,298.52
2024-01-12,North,Ads,3622,166,22,416.46
2024-01-12,North,Social Media,4400,41,22,2406.98
2024-01-12,North,Referral,1023,109,47,417.16
2024-01-12,South,Email,2253,64,28,804.05
2024-01-12,South,Ads,2796,66,23,811.36
2024-01-12,South,Social Media,4702,82,49,2316.43
2024-01-12,South,Referral,2555,132,36,608.89
2024-01-12,East,Email,3266,66,23,1018.02
2024-01-12,East,Ads,4623,97,25,1296.59
2024-01-12,East,Social Media,2146,170,47,652.55
2024-01-12,East,Referral,2031,37,36,1894.82
2024-01-12,West,Email,2575,58,18,706.9
